iter	Passed	Remaining
655	64033	175212
656	64131	175117
657	64228	175016
658	64325	174918
659	64427	174833
660	64528	174744
661	64626	174647
662	64723	174548
663	64820	174447
664	64920	174359
665	65016	174256
666	65109	174146
667	65205	174043
668	65297	173930
669	65399	173844
670	65501	173759
671	65597	173658
672	65694	173559
673	65792	173461
674	65887	173358
675	65988	173267
676	66079	173154
677	66181	173066
678	66278	172968
679	66391	172911
680	66503	172849
681	66602	172756
682	66701	172662
683	66799	172564
684	66897	172467
685	66995	172371
686	67099	172290
687	67197	172193
688	67293	172091
689	67392	171996
690	67497	171917
691	67593	171815
692	67695	171730
693	67796	171641
694	67897	171551
695	67998	171461
696	68105	171388
697	68208	171303
698	68308	171211
699	68406	171114
700	68515	171044
701	68612	170945
702	68711	170851
703	68828	170799
704	68932	170719
705	69037	170636
706	69134	170538
707	69234	170444
708	69331	170346
709	69416	170216
710	69523	170141
711	69622	170047
712	69729	169971
713	69827	169873
714	69933	169796
715	70031	169699
716	70128	169600
717	70221	169489
718	70315	169381
719	70415	169289
720	70513	169192
721	70610	169092
722	70706	168991
723	70802	168889
724	70899	168789
725	71003	168705
726	71101	168608
727	71203	168522
728	71300	168422
729	71397	168321
730	71492	168217
731	71596	168134
732	71693	168035
733	71790	167935
734	71889	167838
735	71987	167743
736	72092	167660
737	72174	167526
738	72273	167432
739	72376	167345
740	72481	167264
741	72578	167165
742	72675	167064
743	72772	166966
744	72870	166868
745	72974	166785
746	73071	166685
747	73170	166590
748	73267	166491
749	73366	166396
750	73472	166315
751	73570	166219
752	73675	166137
753	73771	166035
754	73865	165929
755	73969	165843
756	74065	165743
757	74165	165648
758	74263	165550
759	74359	165449
760	74458	165355
761	74550	165244
762	74646	165142
763	74744	165044
764	74842	164946
765	74943	164855
766	75039	164754
767	75138	164658
768	75229	164545
769	75316	164425
770	75420	164340
771	75519	164244
772	75624	164162
773	75719	164059
774	75817	163961
775	75912	163857
776	76007	163753
777	76118	163684
778	76213	163579
779	76310	163479
780	76416	163400
781	76515	163304
782	76611	163203
783	76700	163085
784	76798	162987
785	76899	162896
786	76997	162800
787	77090	162693
788	77189	162597
789	77288	162501
790	77392	162416
791	77490	162319
792	77590	162225
793	77688	162129
794	77788	162034
795	77883	161930
796	77981	161833
797	78085	161748
798	78187	161658
799	78286	161562
800	78391	161479
801	78492	161388
802	78590	161290
803	78687	161191
804	78784	161092
805	78888	161006
806	78990	160916
807	79099	160842
808	79204	160758
809	79309	160675
810	79417	160597
811	79528	160526
812	79635	160446
813	79748	160378
814	79868	160324
815	79977	160248
816	80083	160167
817	80191	160088
818	80295	160003
819	80401	159920
820	80524	159872
821	80642	159813
822	80751	159736
823	80858	159657
824	80966	159577
825	81069	159488
826	81180	159415
827	81296	159352
828	81404	159273
829	81512	159194
830	81618	159112
831	81725	159030
832	81830	158945
833	81937	158864
834	82047	158788
835	82162	158723
836	82268	158639
837	82362	158532
838	82470	158452
839	82579	158376
840	82689	158299
841	82802	158228
842	82906	158142
843	83015	158063
844	83108	157956
